# 10 7.770000e-01 7.853982e-01
2   0.7770   -0.4685    0.0618
   0.8446    0.3593   -1.5661    59.286
  -1.8233    0.6682    2.2779     0.000
4   0.7770    0.1215    0.1370
  -0.6296   -0.8600   -1.4178    24.025
   1.5095   -0.3593    3.6456     0.000
   0.7902    1.1914   -3.3362     7.398
  -0.7797    1.2994    3.9098     1.669
4   0.7770   -0.1861   -0.0776
  -0.4253   -1.3394   -5.0311    13.432
   0.5091   -1.3397    6.1425    12.315
  -1.5634    0.4591    3.0936     0.000
   0.7402    0.7721   -1.4056    31.198
4   0.7770    0.2407    0.3717
  -0.4463   -0.6706   -0.8018    44.269
   1.5163    0.7511   11.5043     1.768
   1.1793    1.2096  -13.2822     1.948
  -0.0722    1.7103    5.4383     0.000
4   0.7770   -0.2790   -0.3933
  -0.3569   -1.6986   13.0264     0.297
  -0.9204   -1.4654  -18.7230     0.464
  -1.5303   -0.8200    9.2643     0.000
   0.4499    0.6199   -0.6894    49.605
2   0.7770    0.4329   -0.1284
   1.7377   -0.8522    2.2628     0.000
  -0.9382   -0.2608   -2.5066    54.412
2   0.7770   -0.4004    0.1328
   0.9562    0.3134   -2.3756    53.250
  -1.7095    0.8477    2.2853     0.000
2   0.7770   -0.4355    0.0140
   0.8162    0.4399   -1.4059    55.397
  -1.8050    0.5767    2.3777     0.000
4   0.7770    0.2112    0.1048
  -0.7042   -0.7553   -1.3739    31.389
   1.5939   -0.4121    3.1296     0.000
   0.4646    1.3618   -5.1116    12.758
  -0.4647    1.3738    6.1571    11.664
4   0.7770    0.0155   -0.1940
   1.0161   -1.2877    3.0328     0.000
  -1.1000   -0.8319   -4.6201    14.779
  -1.4023    0.1143    5.8709    13.420
   0.4863    0.9737   -1.4883    30.395
